Respondent ID,Did you participate in any of the Wellness Month activities or checkups?,"If no, please indicate the reason(s) for not participating: (Select all that apply)",Reason for not participating in wellness activities - Lack of time,Reason for not participating in wellness activities - Not interested,Reason for not participating in wellness activities - Scheduling conflicts,Reason for not participating in wellness activities - Other (please specify),Which wellness checkups or activities did you participate in? (Select all that apply),Wellness Activities participated in - General health checkup,Wellness Activities participated in - Dental checkup,Wellness Activities participated in - Eye examination,Wellness Activities participated in - Mental health counseling,Wellness Activities participated in - Nutritional counseling,Wellness Activities participated in - Other (please specify),How would you score the organization and communication of Wellness Month activities?,How satisfied were you with the following aspects of the wellness checkups and activities?,How satisfied were you with wellness activity - Professionalism of healthcare providers,How satisfied were you with wellness activity - Quality of the services provided,How satisfied were you with wellness activity - Variety of services offered,How satisfied were you with wellness activity - Convenience of service locations,How satisfied were you with wellness activity - Duration of appointments,How would you score your overall experience during Wellness Month?,Did you receive any useful advice or recommendations from the wellness checkups?,"Advice Implementation - If yes, did you implement any of the advice or recommendations?",Do you agree that participating in Wellness Month has had a positive impact on your health and wellbeing?,What additional wellness services or activities would you like to see offered in future Wellness Months?,Do you have any suggestions for improving the current Wellness Month initiative?,Any other comments or feedback about Wellness Month?,How long have you been with the organization?
118663724720.0,No,Not aware of the activities,,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Average,Satisfied,Neutral,Neutral,Satisfied,Neutral,Satisfied,Good,Yes,Yes,Strongly agree,MENTAL WELLNESS,TEAM VISITING BRANCHES SHOULD ALLOCATE MORE TIME I SUGGEST 3 HOURS FOR A TEAM OF 15-20 STAFF .,MENTAL WELLNESS SHOULD BE INCLUDED,More than 5 years
118663691747.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,Mental health counseling,,,Good,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Agree,in place activities are ok,no,none,Less than 1 year
118663726183.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Good,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Good,Yes,Yes,Strongly agree,Aerobics/dance sessions at the work places,Early communication to allow proper planning,Great initiative by the business. Kudos and keep upscalling,More than 5 years
118663721586.0,Yes,,,,,,,General health checkup,,,,,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,Mental health,Itis well conduct. Most certified,It is well coordinated,More than 5 years
118663721237.0,Yes,,,,,,,General health checkup,,,,,,Good,Satisfied,Neutral,Neutral,Disatisfied,Satisfied,Neutral,Good,No,Yes,Strongly agree,I would suggest to consider Well Woman or Well Man checkup for over 40years at a subsidized rate. Then most colleagues can take it annually.,Prepare flyers that can we shared in the teams whatsapp groups.,Include more other nutritionist to talk to staff or have ways staff can recommend good health coaches to talk to colleagues,More than 5 years
118663714546.0,No,,Lack of time,,,,,General health checkup,,,,,,Poor,Disatisfied,Disatisfied,Disatisfied,Neutral,Very Disatisfied,Disatisfied,Neutral,No,No,Disagree,none,more activation on wellness,,More than 5 years
118663714178.0,Yes,,,,,,,General health checkup,,,,,,Average,Neutral,Satisfied,Satisfied,Neutral,Disatisfied,Neutral,Neutral,Yes,Yes,Agree,Menopause awareness for ladies,More days and more locations,To be allowed time off to attend,More than 5 years
118663712760.0,No,,,,,Planning to go for the checkup before end of year. ,,,Dental checkup,,,,,Good,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Good,Yes,Yes,Agree,"I only attended dental checkup, hope to attend general checkup before end of the year, however, I had to finance dental cleaning out of pocket? ",,I appreciate the service.,More than 5 years
118663713208.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,Mental health counseling,Nutritional counseling,,Good,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Satisfied,Good,Yes,Yes,Agree,,Ensure to send the results for the tests to the participants because there is a lapse here,,1 - 3 years
118663716639.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Average,Disatisfied,Disatisfied,Neutral,Neutral,Neutral,Neutral,Neutral,No,No,Neutral,Mental wellness,Bring experts,,More than 5 years
118663717032.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118663705325.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,Mental health counseling,Nutritional counseling,all check ups,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,Lipid profile,"i'll appreciate if we can contract aghakan hospitals since they have clinics country wide, it wiil be easier to follow/stick to one doctor.",Am satisfied with the service,More than 5 years
118663710974.0,No,,Lack of time,,,,None of the above,,,,,,,Good,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,
118663714908.0,No,,,,Scheduling conflicts,,,,,,,,,,,,,,,,,,,,,,,
118663711723.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118663703837.0,Yes,,,,,,,General health checkup,,,,,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,The existing services is adequate enough for me,Not really,I do appreciate and thankful ,More than 5 years
118663705465.0,No,,,,Scheduling conflicts,,,General health checkup,,,,,,Very Good,,,,,,,,,,,,,,
118663702619.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Good,Satisfied,Very Disatisfied,Neutral,Neutral,Satisfied,Neutral,Very Good,No,No,Disagree,Engage proffessional service providers ,Hyping it with well ness activities,,More than 5 years
118663701636.0,Yes,,,,,,,General health checkup,,,,,,Good,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Good,Yes,Yes,Agree,Change service providers. Some in my opinion are just interested in making sales for their clinic,"Please have more professionals come up, especially Dental, Optical. we have not been checked ears for a long time. Increase limit to have our spouses have comprehensive check up",thank you for good initiative,More than 5 years
118663703906.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Very Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Strongly agree,,,,
118663673175.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Good,Yes,Yes,Agree,GYM at Bishops gate and westend for staff,Focus more on mental health awareness,,More than 5 years
118663697343.0,Yes,,,,,,,General health checkup,,,,,,Average,Neutral,Satisfied,Neutral,Neutral,Satisfied,Neutral,Good,Yes,Yes,Agree,  no comment,no comment,none,More than 5 years
118663694947.0,Yes,,,,,,,General health checkup,,Eye examination,,Nutritional counseling,,Very Good,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,not any that comes to mind at the moment.,not any that comes to mind at the moment.,thank you for the wellness month.,More than 5 years
118663701297.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,Mental health counseling,Nutritional counseling,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,,,,More than 5 years
118663697016.0,Yes,,,,,,,General health checkup,Dental checkup,,,,,Very Good,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,Pap smear for ladies,Continuous reminders on email before and during the time when the service providers are on site,none,1 - 3 years
118663697419.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Good,Satisfied,Satisfied,Neutral,Neutral,Disatisfied,Satisfied,Good,Yes,Yes,Neutral,,,,
118663697393.0,Yes,,,,Scheduling conflicts,,,General health checkup,Dental checkup,,,,,Average,Disatisfied,Neutral,Very Disatisfied,Disatisfied,Disatisfied,Disatisfied,Poor,No,No,Disagree,privacy,privacy,privacy,More than 5 years
118663693426.0,Yes,,,,,,,,,Eye examination,,,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Neutral,Satisfied,Very Good,Yes,Yes,Strongly agree,Exploiting more avenues that can create absolute trust between leaders and staff in disclosing ailments that could be used to determine the staff work within the bank.  Improve on feedback process that is timely when engaging with relevant authority in regard to more information requested by staff. ,Introduction of more players from the medical scene to cover a scope of beyond the common or expected ailements.,none for now,Less than 1 year
118663698191.0,No,,,,Scheduling conflicts,,None of the above,,,,,,,Good,,,,,,,,,,,,,,
118663670262.0,No,,,,Scheduling conflicts,,None of the above,,,,,,,Very Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Good,Yes,Yes,Strongly agree,n/a all are adequately well covered,"If possible, we make this a scheduled monthly exercise. ",none,More than 5 years
118663694140.0,No,,,,,I HAD ALREADY DONE A CHECKUP,None of the above,,,,,,,Average,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,
118663695406.0,No,Not aware of the activities,,,,,,,,,,,,,,,,,,,,,,,,,,
118663690122.0,Yes,,,,,,,,,Eye examination,,,,Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,No,Yes,Agree,ASD and ADHD wellness awareness,"Affordable insured services on Autism Therapy (Occupational/Speech/Hydro, etc.) for kids",,1 - 3 years
118663687055.0,No,,,,Scheduling conflicts,,None of the above,,,,,,,Very Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Good,Yes,Yes,Agree,Variety,Variety,,More than 5 years
118663689937.0,Yes,,,,,,,General health checkup,,Eye examination,,Nutritional counseling,,Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Agree,i am ok with the current ones,no,great initiative,More than 5 years
118663688952.0,Yes,,,,,,,,Dental checkup,Eye examination,,Nutritional counseling,,Good,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Good,Yes,No,Agree,none,none,none,More than 5 years
118663693363.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118663685614.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Average,Satisfied,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Neutral,Yes,Yes,Agree,detailed  and  thorough  checkup,have a clinic closer  to all that  is  well  equipped,ok,More than 5 years
118663688625.0,Yes,,,,,,,General health checkup,,,,,,Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Agree,,,,More than 5 years
118663687185.0,No,Not aware of the activities,,,,,None of the above,,,,,,,Poor,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No,No,Neutral,cancelling on how to handle toddles and teens,send emails  and reminders,none,More than 5 years
118663683284.0,No,,Lack of time,,,,None of the above,,,,,,,Good,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,No,Neutral,Teenage guidance ,Inclusion on how to handle teenagers,,More than 5 years
118663686168.0,Yes,,,,,,,General health checkup,,,,,,Very Good,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Strongly agree,Subsidize gym subscription as am struggling with weight.,More women checks to be included.,It should not be part of the outpatient cover. It should be free to encourage participation.,More than 5 years
118663685378.0,Yes,,,,,,,General health checkup,,Eye examination,,,,Good,Satisfied,Satisfied,Satisfied,Satisfied,Disatisfied,Disatisfied,Good,Yes,Yes,Agree,"Discussion on regular supplements, menopause and how to shop for quality food stuff",as above,,More than 5 years
118663685676.0,Yes,,,,,na,,General health checkup,,,,,,Poor,Neutral,Disatisfied,Disatisfied,Satisfied,Very Satisfied,Neutral,Poor,No,No,Neutral,none,professional services,,More than 5 years
118663686293.0,Yes,,,,,,,General health checkup,Dental checkup,,,Nutritional counseling,,Average,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Agree,,,,More than 5 years
118663687375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118663675967.0,Yes,,,,,,,General health checkup,,,,Nutritional counseling,,Very Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Agree,Introduce branch aerobics,,,More than 5 years
118663684611.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Agree,,,,More than 5 years
118663681277.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Good,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Neutral,Good,Yes,Yes,Strongly agree,more specialist doctors to be included,,,More than 5 years
118663682184.0,Yes,,,,,,,General health checkup,,,,,,Very Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Agree,none,,,More than 5 years
118663681813.0,No,,,,,The previous month I had undergone an intesive wellness check due to an underlying condition and thought that it would be duplicating most of the checks,None of the above,,,,,,,Very Good,,,,,,,,,,,,,,
118663683467.0,No,,,,Scheduling conflicts,,,General health checkup,Dental checkup,Eye examination,,,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,,,,,,,
118663679355.0,Yes,,,,,Ok,,General health checkup,,,,,,Very Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Strongly agree,,,,
118663683116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118663678104.0,No,,,,Scheduling conflicts,,,,Dental checkup,Eye examination,,,,Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,No,Yes,Neutral,,no,no,1 - 3 years
118663680689.0,Yes,,,,,,,General health checkup,,,,,,Good,Very Satisfied,Very Satisfied,Neutral,Neutral,Very Satisfied,Very Satisfied,Good,Yes,Yes,Agree,,,,
118663680284.0,Yes,,,,,,,General health checkup,,Eye examination,,Nutritional counseling,,Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Agree,General counselling,,,More than 5 years
118663678878.0,Yes,,,,,,,General health checkup,Dental checkup,,,Nutritional counseling,,Very Good,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,AGE RELATED DISEASES,MARRIEGE BREAKUPS AND HEALINNGS,,More than 5 years
118663668933.0,Yes,,,,,,,General health checkup,,,,,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Good,Yes,Yes,Strongly agree,,No,No,More than 5 years
118663679502.0,No,Not aware of the activities,,,,,None of the above,,,,,,,Good,,,,,,,,,,,,,,
118663680628.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Very Good,,,,,,,,,,,,,,
118663671295.0,Yes,,,,,,,General health checkup,,,,,,Very Good,Very Disatisfied,Very Disatisfied,Very Disatisfied,Very Disatisfied,Very Disatisfied,Very Disatisfied,Very Good,Yes,Yes,Strongly agree,,,,
118663673597.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,PAP SMEAR ,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,weight management programmers but not KAYA-  KAYA is a pillar of time wasting by idle staff working from home.    ,ALL IS WELL- BRAVO! PROUD OF HUMAN CAPITAL TEAM!,I AM HAPPY AND PROUD TO WORK FOR TOP EMPLOYER FOR THREE CONSECUTIVE YEARS!  ,More than 5 years
118663673574.0,No,,,,,I joined Absa recently.,None of the above,,,,,,,Average,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No,No,Neutral,,,I joined recently hence I cannot provide good feedback on this. I should be able to do this next time.,Less than 1 year
118663678351.0,No,Not aware of the activities,,,,,None of the above,,,,,,,Good,,,,,,,,,,,,,,
118663675833.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Good,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Agree,,,,More than 5 years
118663669106.0,No,,,,Scheduling conflicts,,,,Dental checkup,,,Nutritional counseling,,Good,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Good,Yes,Yes,Strongly agree,Talks on peri-menopause and handling of the same.,Gym membership voucher rewards.,,More than 5 years
118663674424.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Average,Satisfied,Neutral,Neutral,Neutral,Disatisfied,Satisfied,Neutral,Yes,No,Neutral,,,proper planning of venues missed some sections because compulsory checks were at Bishop whereas we were advised were at westend. Had to rush to bishop to avoid missing the compulsory checks thus  missed the rest ,1 - 3 years
118663675149.0,No,,Lack of time,,Scheduling conflicts,,None of the above,,,,,,,Very Good,Very Disatisfied,Satisfied,Satisfied,Neutral,Disatisfied,Neutral,Good,Yes,Yes,Strongly agree,,,,More than 5 years
118663677896.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118663673342.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,,,,More than 5 years
118663674044.0,No,Not aware of the activities,,,,,,General health checkup,,,,,,Good,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Good,Yes,Yes,Strongly agree,more pronounced and personalized adverts,"reach out more, take stock of the pravailing health conditions and undertake to help","great idea, foster more",More than 5 years
118663675386.0,No,,,Not interested,,,None of the above,,,,,,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Good,No,No,Neutral,,,,Less than 1 year
118663675139.0,Yes,,,,,,,General health checkup,Dental checkup,,,,,Very Good,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,Consideration to use other service providers - Columbia Africa,Consideration to use other service providers - Columbia Africa,,3 - 5 years
118663676994.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
118663670293.0,No,Not aware of the activities,,,,,None of the above,,,,,,,Very poor,Disatisfied,Disatisfied,Disatisfied,Very Disatisfied,Disatisfied,Disatisfied,Poor,No,No,Strongly disagree,SMS alert  pop up messages   promotion at Branch level.   Poster and Banners,share SMS messages and emails   use Kaya whatsapp,should have staff health education day presentation ,More than 5 years
118663673966.0,Yes,,,,,,,,Dental checkup,,,,,Very Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Strongly agree,MENTAL HEALTH,TALK MORE ON MENTAL HEALTH,MOST OF ABSA STAFF ARE GOING THROUGH MENTAL HEALTH,More than 5 years
118663674046.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,Include family,,,More than 5 years
118663674543.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Very Good,,,,,,,,,,,,,,
118663673251.0,No,,,,,I prefer to go to my personal physician who has my medical history,None of the above,,,,,,,Very Good,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No,No,Neutral,,,,
118663670512.0,Yes,,,,,,,General health checkup,,,,,,Very Good,Very Satisfied,Satisfied,Neutral,Very Satisfied,Very Satisfied,Very Satisfied,Good,Yes,Yes,Strongly agree,none,,,1 - 3 years
118663669334.0,Yes,,,,,,,General health checkup,,,,Nutritional counseling,,Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Good,Yes,Yes,Agree,Mental Wellness sessions,"A pressure machine is 4,000 shillings. Why not allow staff to buy one using med card instead of waiting a whole year or when they go to hospitals to check pressure",,More than 5 years
118663673497.0,No,Not aware of the activities,,,,,None of the above,,,,,,,Poor,,,,,,,,,,,,,,
118663672004.0,Yes,,,,,,,General health checkup,Dental checkup,,,,,Good,Very Satisfied,Neutral,Neutral,Neutral,Very Satisfied,Very Satisfied,Good,No,Yes,Neutral,Annual all rounded check up,no,,More than 5 years
118663673023.0,No,,,,,Conducted the medical review in hospital,,,,,,,,,,,,,,,,,,,,,,
118663670132.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Good,Yes,Yes,Strongly agree,Financial wellness,,,More than 5 years
118663670753.0,No,,,,Scheduling conflicts,,None of the above,,,,,,,Good,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No,No,Strongly agree,,,,More than 5 years
118663670095.0,Yes,,,,,,,General health checkup,,,Mental health counseling,,,Very Good,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Disatisfied,Very Good,Yes,Yes,Agree,facilities at the physical working locations for fitness sessions esp for colleagues working late and can do some exercises before going home,None for now,None for now,More than 5 years
118663671227.0,No,Not aware of the activities,,,,,None of the above,,,,,,,Good,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No,No,Neutral,none,none,Better communication,More than 5 years
118663673009.0,No,Not aware of the activities,,,,,None of the above,,,,,,,Average,,,,,,,,,,,,,,
118663668920.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Average,Satisfied,Satisfied,Neutral,Disatisfied,Disatisfied,Disatisfied,Good,Yes,No,Agree,,,,
118663667735.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Average,Satisfied,Disatisfied,Disatisfied,Neutral,Satisfied,Satisfied,Good,Yes,Yes,Strongly agree,Endoscopy /stomach checks because of cancer. This can be allowed on approval basis for those pre-disposed to the cancer gene due to genetics.,,,More than 5 years
118663672787.0,No,,Lack of time,,Scheduling conflicts,,None of the above,,,,,,,Average,,,,,,,,,,,,,,
118663670865.0,Yes,,,,,,,General health checkup,,Eye examination,,Nutritional counseling,,Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Agree,Do follow-up,none for now,,More than 5 years
118663673329.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118663668921.0,Yes,,,,,,,General health checkup,,,,,,Very Good,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Very Good,Yes,Yes,Strongly agree,weight management,"Partner with weight loss trainers through healthy eating, to help colleagues in weight loss management and reduce diseases that come with excess weight like obesity",OK,More than 5 years
118663672032.0,No,Not aware of the activities,,,,,None of the above,,,,,,,Average,,,,,,,,,,,,,,
118663671046.0,Yes,,,,,,,,,,Mental health counseling,,,Average,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Good,Yes,Yes,Agree,I am okay with the wellness services as is,No,,More than 5 years
118663672616.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118663667911.0,Yes,,,,,,,,,,Mental health counseling,,,Good,Neutral,Satisfied,Very Satisfied,Neutral,Satisfied,Satisfied,Good,Yes,Yes,Strongly agree,physiotherapy  teambuilding,no,none,1 - 3 years
118663670318.0,Yes,,,,,,,,,,Mental health counseling,,,Good,Satisfied,Very Satisfied,Very Satisfied,Disatisfied,Disatisfied,Satisfied,Good,Yes,Yes,Strongly agree,,,,1 - 3 years
118663669215.0,Yes,,,,,Na,,General health checkup,Dental checkup,Eye examination,,,,Poor,Neutral,Neutral,Neutral,Neutral,Very Disatisfied,Very Disatisfied,Poor,No,No,Strongly agree,Mental health checkups,Make it personal not in the branches it is very not confidential these are confidential issue why do them at the workplace!,Confidential check on that,More than 5 years
118663667634.0,Yes,,,,,i participated,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Very Good,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Very Good,Yes,Yes,Strongly agree,With the work from home schedules and also time constrain can we also have it on one Saturday for those who could not make it during the week.,none,Awareness to colleagues and also the timings to enable more staff attend. ,More than 5 years
118663670618.0,Yes,,,,,,,General health checkup,,,,,,Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,No,No,Strongly agree,,,,1 - 3 years
118663667995.0,No,,,,Scheduling conflicts,,,,,,Mental health counseling,,,Very Good,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Neutral,Satisfied,Very Good,Yes,Yes,Strongly agree,Psychiatrist visit,No,,Less than 1 year
118663669906.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Very Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Good,Yes,Yes,Strongly agree,,,,More than 5 years
118663667967.0,No,,,,,There was no proper communication of my test results in the previous cycle and I didn't get help,,General health checkup,,,,,,Good,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Good,Yes,Yes,Agree,ENT SPECIALISTS,NO,Glad about the shift towards mental and  financial wellness,More than 5 years
118663668035.0,No,,,,,was on leave,None of the above,,,,,,,Very Good,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No,No,Strongly agree,,,,More than 5 years
118663667624.0,Yes,,,,,,,General health checkup,,,,,,Very Good,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Good,Yes,Yes,Strongly agree,None currently,None currently,,More than 5 years
118663668655.0,Yes,,,,,,,General health checkup,,,,,,Average,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Agree,I  PREFER CHECK UPS MOTHNLY,DIFFRENT WELNESS,WE MAKE IT EASY FOR INQUARY,1 - 3 years
118663671182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118663668031.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,Nutritional counseling,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,general,no,none,More than 5 years
118663669760.0,No,Not aware of the activities,,,,,None of the above,,,,,,,Average,,,,,,,,,,,,,,
118663669365.0,No,Not aware of the activities,,,,,None of the above,,,,,,,Very poor,,,,,,,,,,,,,,
118663668123.0,Yes,,,,,,,General health checkup,,,,,,Good,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Satisfied,Good,Yes,Yes,Strongly agree,,,,More than 5 years
118663668466.0,Yes,Not aware of the activities,,,,,,,,,,,,,,,,,,,,,,,,,,
118663668266.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,Mental health counseling,,,Very Good,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Good,Yes,Yes,Strongly agree,,,,More than 5 years
118663668476.0,No,Not aware of the activities,,,,,,General health checkup,,,,,,Good,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Yes,Yes,Agree,,,,Less than 1 year
118663668020.0,Yes,,,,,,,General health checkup,,,,,,Very Good,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Good,Yes,Yes,Agree,,,,More than 5 years
118663669829.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118663668336.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,,,,Good,,,,,,,,,,,,,,
118663668108.0,Yes,,,,,,,General health checkup,Dental checkup,Eye examination,Mental health counseling,Nutritional counseling,,Good,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Yes,Yes,Strongly agree,,,,3 - 5 years
